[2024-10-25 12:50:08,856]  INFO {org.wso2.config.mapper.ConfigParser} - Overriding files in configuration directory /home/wso2carbon/wso2mi-4.2.0
[2024-10-25 12:50:09,445]  INFO {org.wso2.config.mapper.ConfigParser} - Applying configurations with deployment configurations
[2024-10-25 12:50:24,946]  INFO {RuntimeStatisticCollector} - Statistics Entry Expiration time set to 136000 milliseconds
[2024-10-25 12:50:26,345]  INFO {EndpointDeployer} - Endpoint named 'putCardStatus_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/putCardStatus_EP_1.0.0/putCardStatus_EP-1.0.0.xml
[2024-10-25 12:50:26,351]  INFO {EndpointDeployer} - Endpoint named 'getCardLimit_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/getCardLimit_EP_1.0.0/getCardLimit_EP-1.0.0.xml
[2024-10-25 12:50:26,353]  INFO {EndpointDeployer} - Endpoint named 'resetCardPin_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/resetCardPin_EP_1.0.0/resetCardPin_EP-1.0.0.xml
[2024-10-25 12:50:26,354]  INFO {EndpointDeployer} - Endpoint named 'retrieveCardStatus_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/retrieveCardStatus_EP_1.0.0/retrieveCardStatus_EP-1.0.0.xml
[2024-10-25 12:50:26,355]  INFO {EndpointDeployer} - Endpoint named 'activateCard_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/activateCard_EP_1.0.0/activateCard_EP-1.0.0.xml
[2024-10-25 12:50:26,356]  INFO {EndpointDeployer} - Endpoint named 'statusOfApiByCountry_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/statusOfApiByCountry_EP_1.0.0/statusOfApiByCountry_EP-1.0.0.xml
[2024-10-25 12:50:26,357]  INFO {EndpointDeployer} - Endpoint named 'retrieveCardsByActNo_EP' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/retrieveCardsByActNo_EP_1.0.0/retrieveCardsByActNo_EP-1.0.0.xml
[2024-10-25 12:50:26,359]  INFO {EndpointDeployer} - Endpoint named 'patchCardLimit' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/patchCardLimit_1.0.0/patchCardLimit-1.0.0.xml
[2024-10-25 12:50:26,435]  INFO {SequenceDeployer} - Sequence named 'CardManagenetFaultSeq' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/CardManagenetFaultSeq_1.0.0/CardManagenetFaultSeq-1.0.0.xml
[2024-10-25 12:50:26,533]  INFO {API} - {api:resetCardPin} Initializing API: resetCardPin
[2024-10-25 12:50:26,533]  INFO {Axis2SynapseEnvironment} - Continuation call is set to true
[2024-10-25 12:50:26,537]  INFO {APIDeployer} - API named 'resetCardPin' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/resetCardPin_1.0.0/resetCardPin-1.0.0.xml
[2024-10-25 12:50:26,542]  INFO {API} - {api:Activatecard} Initializing API: Activatecard
[2024-10-25 12:50:26,543]  INFO {APIDeployer} - API named 'Activatecard' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/Activatecard_1.0.0/Activatecard-1.0.0.xml
[2024-10-25 12:50:26,625]  INFO {API} - {api:retrieveCardStatus} Initializing API: retrieveCardStatus
[2024-10-25 12:50:26,626]  INFO {APIDeployer} - API named 'retrieveCardStatus' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/retrieveCardStatus_1.0.0/retrieveCardStatus-1.0.0.xml
[2024-10-25 12:50:26,651]  INFO {API} - {api:getCardLimit} Initializing API: getCardLimit
[2024-10-25 12:50:26,651]  INFO {APIDeployer} - API named 'getCardLimit' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/getCardLimit_1.0.0/getCardLimit-1.0.0.xml
[2024-10-25 12:50:26,713]  INFO {API} - {api:statusOfApiByCountry} Initializing API: statusOfApiByCountry
[2024-10-25 12:50:26,714]  INFO {APIDeployer} - API named 'statusOfApiByCountry' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/statusOfApiByCountry_1.0.0/statusOfApiByCountry-1.0.0.xml
[2024-10-25 12:50:26,725]  INFO {API} - {api:retrieveCardsbyAccountNo} Initializing API: retrieveCardsbyAccountNo
[2024-10-25 12:50:26,725]  INFO {APIDeployer} - API named 'retrieveCardsbyAccountNo' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826217CardManagementCompositeExporter_1.0.0-SNAPSHOT.car/retrieveCardsbyAccountNo_1.0.0/retrieveCardsbyAccountNo-1.0.0.xml
[2024-10-25 12:50:26,726]  INFO {CappDeployer} - Successfully Deployed Carbon Application : CardManagementCompositeExporter_1.0.0-SNAPSHOT{super-tenant}
[2024-10-25 12:50:26,727]  INFO {ServiceCatalogDeployer} - Executing Service Catalog deployer for CApp : CardManagementCompositeExporter_1.0.0-SNAPSHOT.car
[2024-10-25 12:50:26,733]  INFO {SequenceDeployer} - Sequence named 'secondaryFlow' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826727ContentBasedRoutingApplicationCompositeExporter_1.0.0.car/secondaryFlow_1.0.0/secondaryFlow-1.0.0.xml
[2024-10-25 12:50:26,734]  INFO {SequenceDeployer} - Sequence named 'firstSubFlow' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826727ContentBasedRoutingApplicationCompositeExporter_1.0.0.car/firstSubFlow_1.0.0/firstSubFlow-1.0.0.xml
[2024-10-25 12:50:26,734]  INFO {SequenceDeployer} - Sequence named 'secondSubFlow' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826727ContentBasedRoutingApplicationCompositeExporter_1.0.0.car/secondSubFlow_1.0.0/secondSubFlow-1.0.0.xml
[2024-10-25 12:50:26,735]  INFO {SequenceDeployer} - Sequence named 'ErrorHandling' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826727ContentBasedRoutingApplicationCompositeExporter_1.0.0.car/ErrorHandling_1.0.0/ErrorHandling-1.0.0.xml
[2024-10-25 12:50:26,820]  INFO {API} - {api:business-logic} Initializing API: business-logic
[2024-10-25 12:50:26,821]  INFO {APIDeployer} - API named 'business-logic' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826727ContentBasedRoutingApplicationCompositeExporter_1.0.0.car/business-logic_1.0.0/business-logic-1.0.0.xml
[2024-10-25 12:50:26,822]  INFO {CappDeployer} - Successfully Deployed Carbon Application : ContentBasedRoutingApplicationCompositeExporter_1.0.0{super-tenant}
[2024-10-25 12:50:26,822]  INFO {ServiceCatalogDeployer} - Executing Service Catalog deployer for CApp : ContentBasedRoutingApplicationCompositeExporter_1.0.0.car
[2024-10-25 12:50:26,837]  INFO {LocalEntryDeployer} - LocalEntry named 'loanscustomerImagelocalentry' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/loanscustomerImagelocalentry_1.0.0/loanscustomerImagelocalentry-1.0.0.xml
[2024-10-25 12:50:26,838]  INFO {EndpointDeployer} - Endpoint named 'LoansCustomerImageManager_Ep' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/LoansCustomerImageManager_Ep_1.0.0/LoansCustomerImageManager_Ep-1.0.0.xml
[2024-10-25 12:50:26,922]  INFO {SequenceDeployer} - Sequence named 'LoansCustomerImageManagerOutSequence' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/LoansCustomerImageManagerOutSequence_1.0.0/LoansCustomerImageManagerOutSequence-1.0.0.xml
[2024-10-25 12:50:26,928]  INFO {SequenceDeployer} - Sequence named 'LoaansCustomerImageManagerFaultSequence' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/LoaansCustomerImageManagerFaultSequence_1.0.0/LoaansCustomerImageManagerFaultSequence-1.0.0.xml
[2024-10-25 12:50:27,819]  INFO {SequenceDeployer} - Sequence named 'InquireCustomerImageManagerInSequence' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/InquireCustomerImageManagerInSequence_1.0.0/InquireCustomerImageManagerInSequence-1.0.0.xml
[2024-10-25 12:50:28,129] ERROR {ServiceCatalogUtils} - Could not create temporary files
[2024-10-25 12:50:28,428]  INFO {API} - {api:LoansCustomerImageManagerAPI} Initializing API: LoansCustomerImageManagerAPI
[2024-10-25 12:50:28,530]  INFO {APIDeployer} - API named 'LoansCustomerImageManagerAPI' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849826822LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car/InquireCustomerImage_1.0.0/InquireCustomerImage-1.0.0.xml
[2024-10-25 12:50:28,530]  INFO {CappDeployer} - Successfully Deployed Carbon Application : LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT{super-tenant}
[2024-10-25 12:50:28,531]  INFO {ServiceCatalogDeployer} - Executing Service Catalog deployer for CApp : LoansCustomerImageManagerCompositeExporter_1.0.0-SNAPSHOT.car
[2024-10-25 12:50:28,730]  INFO {EndpointDeployer} - Endpoint named 'LoansPaymentManagerEndpoint' has been deployed from file : /home/wso2carbon/wso2mi-4.2.0/tmp/carbonapps/-1234/1729849828531LoansPaymentManagerCompositeExporter_1.0.0.car/LoansPaymentManagerEndpoint_1.0.0/LoansPaymentManagerEndpoint-1.0.0.xml
